Source,Target,Type,id,label,timeset,weight,freight_value,leadtime,manh_dist
AM,AL,Directed,1,,,1,35.26,90,5616.766414
AM,MA,Directed,2,,,1,21.25,29.5234838,6384.99681
AM,MG,Directed,3,,,1,25.29,23.03792824,4741.298515
BA,AC,Directed,4,,,1,51.7,66.94353009,3110.276685
BA,AL,Directed,5,,,11,19.618,15.67806944,3279.616343
BA,AM,Directed,6,,,1,44.74,33.01077546,4036.358125
BA,AP,Directed,7,,,2,35.89,20.98171296,4466.020964
BA,BA,Directed,8,,,83,16.98851351,10.60288601,2781.4932
BA,CE,Directed,9,,,14,31.47357143,15.25217593,3889.262456
BA,DF,Directed,10,,,16,23.065,10.97635334,2451.557984
BA,ES,Directed,11,,,15,21.75384615,13.58399306,2091.381758
BA,GO,Directed,12,,,14,26.62818182,17.37117529,2361.732027
BA,MA,Directed,13,,,18,30.73647059,19.79371324,3929.941676
BA,MG,Directed,14,,,55,34.9354717,10.16573987,2133.401436
BA,MS,Directed,15,,,2,57.065,18.35127315,2126.472916
BA,MT,Directed,16,,,9,41.38714286,18.21484954,2645.66848
BA,PA,Directed,17,,,15,45.17545455,22.88096275,3959.387527
BA,PB,Directed,18,,,10,37.215,18.28965625,3631.505588
BA,PE,Directed,19,,,38,26.11571429,16.27635847,3364.371002
BA,PI,Directed,20,,,11,35.297,10.27166204,3585.151044
BA,PR,Directed,21,,,19,34.12384615,14.11106303,1932.574334
BA,RJ,Directed,22,,,103,31.56849462,12.79472645,1975.398046
BA,RN,Directed,23,,,10,18.39777778,15.70802212,3666.425019
BA,RO,Directed,24,,,2,52.61,27.38657986,3199.963506
BA,RR,Directed,25,,,1,86.21,10.35615741,5369.151059
BA,RS,Directed,26,,,102,35.5702381,14.47824818,2087.376824
BA,SC,Directed,27,,,13,44.26538462,16.15967415,2009.766363
BA,SE,Directed,28,,,9,18.32666667,16.89352881,3041.92818
BA,SP,Directed,29,,,167,34.27125,10.98505414,1970.878658
BA,TO,Directed,30,,,2,45.135,15.07406829,3374.376261
CE,AL,Directed,31,,,2,20.425,19.43289931,3288.368387
CE,AM,Directed,32,,,1,38.01,90,3948.506222
CE,BA,Directed,33,,,2,23.265,15.86549769,2880.20311
CE,CE,Directed,34,,,9,42.85222222,5.762894805,3789.620994
CE,DF,Directed,35,,,1,27.84,9.955347222,2818.507869
CE,ES,Directed,36,,,3,23.31,18.74527778,2700.069791
CE,GO,Directed,37,,,1,144.29,13.49709491,2785.871332
CE,MA,Directed,38,,,2,61.555,20.88542245,3942.744942
CE,MG,Directed,39,,,5,25.895,11.90493924,2792.170593
CE,MS,Directed,40,,,1,85.75,12.82086806,2688.702993
CE,MT,Directed,41,,,4,44.95333333,25.31652392,2847.222886
CE,PA,Directed,42,,,3,117.0833333,29.54741127,3751.221669
CE,PE,Directed,43,,,7,19.07,16.46659557,3422.050266
CE,PI,Directed,44,,,3,17.69333333,27.64643904,3714.778811
CE,PR,Directed,45,,,6,61.52,15.89657176,2810.044203
CE,RJ,Directed,46,,,10,59.746,16.7758669,2715.978588
CE,RN,Directed,47,,,1,97.44,13.25076389,3621.889575
CE,RO,Directed,48,,,1,38.81,24.30166667,3239.6357
CE,RS,Directed,49,,,2,42.54,16.2221412,3057.354346
CE,SC,Directed,50,,,2,37.43,20.36598958,2897.305886
CE,SE,Directed,51,,,3,20.59333333,14.3183179,3130.241728
CE,SP,Directed,52,,,25,50.83333333,14.66807002,2744.759798
DF,AL,Directed,53,,,4,54.2825,13.47206597,4223.526811
DF,BA,Directed,54,,,40,25.05305556,18.01919399,3768.432961
DF,CE,Directed,55,,,15,28.35923077,23.90007479,4855.872217
DF,DF,Directed,56,,,77,9.020357143,5.366226438,3440.678239
DF,ES,Directed,57,,,28,20.45090909,18.79852536,2979.088
DF,GO,Directed,58,,,37,16.530625,8.417021846,3397.380331
DF,MA,Directed,59,,,17,26.04636364,18.00307765,5067.238476
