,geolocation_zip_code_prefix_3_digits,geolocation_lat,geolocation_lng,X,y,label
0,012,-23.541449594048657,-46.65601849394024,-5193724.221186984,-2697630.505867086,2
1,014,-23.568595006388197,-46.666006238414326,-5194836.051816028,-2700927.032031763,2
2,024,-23.48298869487697,-46.638432181024605,-5191766.521788304,-2690533.431787752,2
3,026,-23.464424204572776,-46.65683292995693,-5193814.883789636,-2688280.3837422254,2
4,030,-23.53610895692025,-46.59201403248292,-5186599.277129073,-2696982.0088277683,2
5,034,-23.556626223174327,-46.53369197172901,-5180106.895023924,-2699473.45714799,2
6,036,-23.523900501791978,-46.51289139064292,-5177791.384929211,-2695499.727304621,2
7,038,-23.49865197409611,-46.48579890413919,-5174775.463127284,-2692434.6439236277,2
8,039,-23.599787274026173,-46.50055093560148,-5176417.651757846,-2704715.8178614117,2
9,044,-23.683811650292636,-46.65712354077543,-5193847.234437998,-2714926.4119711183,2
10,048,-23.749007747152735,-46.69555968995433,-5198125.926992627,-2722854.626833573,2
11,049,-23.69481769880661,-46.75784139327143,-5205059.09449162,-2716264.420113537,2
12,051,-23.48703335591575,-46.74195391546449,-5203290.508552188,-2691024.561490111,2
13,052,-23.428500904698236,-46.758117219759896,-5205089.799355869,-2683922.3030445464,2
14,058,-23.666205021305203,-46.76432996055035,-5205781.398497062,-2712786.2807182185,2
15,083,-23.611304944711183,-46.46146917626526,-5172067.09020925,-2706115.25044336,2
