,seller_city,customer_city,frequency,freight_value,leadtime,manh_dist
0,abadia de goias,sobral,1,43.41,24.39457175925926,5196.004387112613
1,afonso claudio,belem,1,29.62,21.557037037037038,4801.943847490825
2,afonso claudio,franca,3,17.19,11.07798611111111,2147.5042686096604
3,afonso claudio,macae,1,15.56,7.110138888888889,1958.4440553204258
4,afonso claudio,niteroi,1,17.43,7.321030092592593,1909.769438961088
5,afonso claudio,santa cruz,1,22.28,25.207233796296297,4067.298100874356
6,aguas claras df,tubarao,1,17.78,6.330902777777778,2450.7708654724256
7,alambari,chopinzinho,1,19.32,21.549027777777777,2237.3040570744624
8,alambari,curitiba,1,19.32,12.953969907407407,2272.473408489581
9,alambari,dourados,1,16.11,53.763703703703705,2629.964343311087
10,alambari,ribeirao preto,1,12.69,9.341273148148149,2750.6474724900654
11,alambari,sao paulo,1,13.71,6.737025462962963,2476.684033863618
12,alfenas,abare,1,22.06,17.059560185185184,4230.363650666429
13,alfenas,alfenas,3,15.43,2.8973726851851853,2536.2020435664213
14,alfenas,balneario camboriu,1,17.45,54.274293981481485,2018.7159088476508
15,alfenas,barreirinhas,1,34.16,17.706516203703703,5109.172679080873
16,alfenas,bauru,1,15.1,17.002280092592592,2440.9432173378505
17,alfenas,belo horizonte,2,12.98,6.467060185185185,2719.6627568803697
18,alfenas,boa esperanca do sul,1,25.25,15.874479166666667,2474.6823561976803
19,alfenas,brauna,1,15.34,10.507534722222223,2528.624268296207
20,alfenas,buri,1,18.29,9.489699074074075,2288.154107245973
21,alfenas,cabo frio,1,15.1,16.990405092592592,2379.0744201150205
22,alfenas,campinas,1,44.48,10.231631944444445,2373.4715630272935
23,alfenas,chapada dos guimaraes,1,26.29,15.979328703703704,3285.064799404135
24,alfenas,chapadao do sul,1,27.79,49.99415509259259,2848.0026489805564
25,alfenas,contagem,1,26.1,14.131354166666666,2714.7376089413924
26,alfenas,cotia,1,18.73,11.111157407407408,2306.7488035988827
27,alfenas,guaruja,1,25.25,54.07334490740741,2274.339022072539
28,alfenas,guarulhos,1,18.29,15.000983796296296,2326.5056768373984
29,alfenas,guzolandia,1,41.69,9.463217592592592,2625.9520635278905
30,alfenas,imbau,1,16.79,12.10949074074074,2226.5314842464345
31,alfenas,itaborai,1,15.76,14.915150462962963,2393.189008084823
32,alfenas,itapetininga,1,15.1,11.238425925925926,2308.9518380347226
33,alfenas,itaquaquecetuba,1,15.18,11.711539351851853,2318.6892854214084
34,alfenas,itatiba,1,13.55,7.695474537037037,2368.5799233720386
35,alfenas,jau,1,89.85,10.05207175925926,2442.211085447652
36,alfenas,jequie,1,83.34,15.276655092592593,3497.109033109658
37,alfenas,juiz de fora,1,12.48,9.909953703703703,2499.040901906382
38,alfenas,lorena,2,19.52,17.16033564814815,2395.9636875713873
39,alfenas,mage,1,15.1,12.08550925925926,2399.1076006873277
40,alfenas,maringa,1,17.24,26.6840625,2323.3973326902205
41,alfenas,matias barbosa,1,13.51,6.088425925925926,2488.2447946829725
42,alfenas,mogi das cruzes,3,18.61,13.867025462962962,2315.3247561571648
43,alfenas,monte carmelo,1,12.55,9.247916666666667,2856.138777747385
44,alfenas,niteroi,1,15.34,16.220555555555556,2380.6618367316605
45,alfenas,novo oriente do piaui,1,63.11,8.689652777777777,4558.617218257831
46,alfenas,paty do alferes,1,15.3,5.211886574074074,2428.6985670427252
47,alfenas,petropolis,1,57.19,7.388761574074074,2422.899776863498
48,alfenas,poa,1,25.25,9.53962962962963,2312.1262129933466
49,alfenas,porto firme,1,18.78,6.627986111111111,2628.520247647216
50,alfenas,quissama,1,45.4,17.104224537037037,2462.1493442447127
51,alfenas,rio de janeiro,5,25.7675,13.222844328703703,2378.5294164005336
52,alfenas,rio real,1,16.79,9.83550925925926,3829.1252740529726
53,alfenas,rosario,1,50.92,15.490358796296297,5081.751185722656
54,alfenas,santa cruz do sul,1,25.63,15.154375,1869.2995719355604
55,alfenas,sao jose dos campos,1,19.47,10.776736111111111,2344.3009689724236
56,alfenas,sao leopoldo,1,25.63,13.577291666666667,1868.7831243642952
57,alfenas,sao paulo,6,20.513333333333332,12.100752314814814,2310.2608879036793
58,alfenas,sao pedro do ivai,1,54.96,14.743587962962962,2279.090275153943
