,ID,label,sent,recived
0,TO,TO,0.0,354.0
1,MA,MA,418.0,920.0
2,GO,GO,592.0,3019.0
3,ES,ES,429.0,2524.0
4,CE,CE,94.0,1619.0
5,RO,RO,15.0,307.0
6,PA,PA,8.0,1198.0
7,SP,SP,93934.0,55654.0
8,BA,BA,743.0,4233.0
9,DF,DF,948.0,2552.0
10,PB,PB,38.0,687.0
11,MT,MT,154.0,1254.0
12,AM,AM,3.0,191.0
13,PR,PR,10043.0,6795.0
14,RN,RN,61.0,574.0
15,RS,RS,2464.0,7271.0
16,PI,PI,11.0,581.0
17,AC,AC,0.0,111.0
18,MG,MG,9723.0,15118.0
19,SE,SE,13.0,427.0
20,AP,AP,0.0,102.0
21,RR,RR,0.0,49.0
22,AL,AL,0.0,468.0
23,RJ,RJ,5410.0,16584.0
24,SC,SC,4763.0,4935.0
25,MS,MS,52.0,973.0
26,PE,PE,515.0,1931.0
