,seller_city,customer_city,frequency,freight_value,delay,phy_dist,efficiency
0,alambari,ribeirao preto,1,12.69,9.341273148148149,261.22387585624057,0.0357596453139258
1,alambari,sao paulo,1,13.71,6.737025462962963,122.7902931876996,0.0548661078010834
2,alvares machado,guaruja,1,11.85,2.383796296296296,575.3021655024748,0.004143555229301568
3,alvares machado,sao paulo,1,11.85,6.918287037037037,518.5399925061663,0.01334185817298319
4,alvares machado,votorantim,1,10.96,7.223125,443.5373429338984,0.016285269132516947
5,americana,amparo,15,9.09,4.165011574074074,51.895277451135414,0.08025800763847632
6,americana,andradina,1,15.08,19.89701388888889,466.327889421174,0.04266743280910329
7,americana,barueri,1,11.44,45.24077488425929,100.18364603100356,0.4515784429552379
8,americana,braganca paulista,1,9.74,7.155057870370371,82.69468967775963,0.08652378887026276
9,americana,cajamar,1,7.78,8.643923611111111,84.37210637570507,0.10245001556106849
10,americana,campinas,5,7.7625,4.378420138888888,31.698002334789344,0.15147642614447607
11,americana,embu das artes,1,7.39,2.1672106481481483,115.5161007662233,0.0187611132454519
12,americana,guararema,1,11.85,7.181238425925926,150.0551156017477,0.047857338266195606
13,americana,itanhaem,10,12.79,13.447974537037037,169.06055333221815,0.07954531244559836
14,americana,itapetininga,1,12.79,16.41644675925926,122.39266020565931,0.134129340204505
15,americana,jundiai,1,12.29,5.852592592592592,62.86688996885393,0.09309499158447532
16,americana,marilia,1,13.05,5.954386574074074,273.80716657842055,0.0217466425312454
17,americana,maua,1,7.39,1.764537037037037,136.9547670366894,0.012884086295180421
18,americana,mogi mirim,3,8.64,3.493923611111111,52.25990608389669,0.06685667604342911
19,americana,nova odessa,1,7.58,2.051886574074074,5.304902350182781,0.38679063979441136
20,americana,piracicaba,2,7.484999999999999,6.178732638888889,30.59990603491574,0.20005857875451716
21,americana,pirapozinho,1,13.83,4.87050925925926,430.62252792570234,0.011310391220636732
22,americana,ribeirao preto,3,14.79,6.411319444444445,180.24297709792882,0.035570425808940535
23,americana,santo andre,2,9.715,7.684230324074074,134.81397687803906,0.0569118127268449
24,americana,santos,2,7.71,7.160202546296297,171.91982245772368,0.04171742833907258
25,americana,sao bernardo do campo,1,8.88,5.0522685185185185,132.0685130140104,0.03825490575473166
26,americana,sao paulo,10,11.758000000000001,3.876443287037037,118.23954855516408,0.03298416112763595
27,americana,sorocaba,1,12.4,3.108923611111111,85.95375813728083,0.03616972286593567
28,americana,suzano,1,7.43,5.2842824074074075,136.81099949196465,0.03862468973277087
29,americana,taboao da serra,1,53.05,2.4950694444444443,112.531426868899,0.02217220125850925
30,americana,teodoro sampaio,1,12.79,7.417974537037037,499.77398113730925,0.01484265851566811
31,amparo,barueri,1,37.56,5.813125,88.70760085654592,0.0655313067185836
32,amparo,caieiras,1,39.78,4.741157407407408,72.0910570639489,0.06576623509905992
33,amparo,campinas,3,16.986666666666668,5.78261188271605,38.42194374696059,0.13784777986577815
34,amparo,dobrada,1,57.51,3.8955439814814814,208.1375555444002,0.018716199348514394
35,amparo,guarulhos,1,18.7,5.762164351851852,87.51894236569595,0.0658390537647813
36,amparo,indaiatuba,3,12.49,7.731226851851852,61.19727993706896,0.12633285106465694
37,amparo,itabera,1,43.45,20.808541666666667,266.81747979331544,0.07798792523932678
38,amparo,itaquaquecetuba,1,25.68,4.698981481481481,96.15245150669848,0.04887011623571683
39,amparo,itatiba,1,31.69,6.499872685185185,35.69823276780685,0.18207827618421654
40,amparo,jundiai,1,14.49,5.935347222222222,53.01726284810403,0.11195121934580367
41,amparo,paulinia,7,9.0775,3.3657783564814814,40.819493638180994,0.08317533023034979
42,amparo,pirapora do bom jesus,1,12.88,10.771435185185185,81.37572837940607,0.13236668229824577
43,amparo,presidente prudente,1,12.1,7.245497685185185,478.6189410373978,0.015138342977987251
44,amparo,santana de parnaiba,1,14.64,10.25087962962963,85.27730054203973,0.12020642731973187
45,amparo,sao joao da boa vista,1,33.97,7.310902777777778,82.48226545542077,0.08863605694401186
46,amparo,sao paulo,15,30.084666666666667,7.280849537037036,98.65460494214759,0.07346048665370215
47,amparo,taubate,1,86.77,6.86775462962963,134.0537880120615,0.05123133580538361
48,andradas,adamantina,1,17.44,12.351770833333333,466.55933042912983,0.026474169580902984
49,andradas,batatais,1,12.52,10.912835648148148,167.63151271329644,0.0651001441883579
50,andradas,ferraz de vasconcelos,1,14.04,10.125162037037038,164.67996280577503,0.0614838737180111
51,andradas,juquitiba,1,16.78,12.130092592592593,214.28139292888423,0.056608240345993696
52,andradas,sao jose dos campos,1,12.62,11.207361111111112,143.20191169420184,0.07826265011771412
53,andradas,sao vicente,1,47.37,10.052824074074074,210.28776464718948,0.047805083148514185
54,ao bernardo do campo,guarulhos,1,12.06,1.723298611111111,26.77727539090978,0.06435675721123323
55,ao bernardo do campo,sao paulo,1,9.05,1.6010648148148148,14.854620998603174,0.10778227293482398
56,aparecida,aluminio,1,12.79,6.488414351851852,218.63195808106016,0.029677337242006507
57,aparecida,amparo,1,12.8,4.90255787037037,160.1551361462982,0.030611305939585925
58,aparecida,caieiras,1,12.88,4.247060185185185,161.6993789090816,0.026265160780692742
59,aparecida,cubatao,1,12.79,4.626886574074074,167.74338816856928,0.02758312339216856
60,aparecida,diadema,1,11.85,15.971921296296296,168.77564599721532,0.09463404036717372
61,aparecida,guaira,1,11.85,17.53358796296296,424.10638714995787,0.04134242844299192
62,aparecida,limeira,1,11.85,7.3357523148148145,223.38019014318579,0.03283976215667391
63,aparecida,mairinque,1,12.79,10.928912037037037,212.63152822393056,0.051398360950156805
64,aparecida,mogi-guacu,2,12.8,11.399693287037037,182.4029670392963,0.06267110384878224
65,aparecida,presidente alves,1,12.79,10.228645833333333,438.7696677715748,0.023312107888593624
66,aparecida,sao paulo,22,3.5242857142857145,6.059814814814814,152.2658076660291,0.04032023976163873
67,aparecida,sorocaba,1,11.89,6.724664351851852,238.90236993589906,0.0281481692862912
68,aparecida,taboao da serra,1,11.85,11.98105324074074,179.8648626602419,0.06661141627963495
69,aparecida,taquaritinga,1,12.79,4.530046296296296,372.0812828649332,0.012174883566881053
70,aparecida,tejupa,1,11.85,13.10142361111111,421.4714355655879,0.031084962124490908
71,aparecida,vinhedo,1,12.79,6.491990740740741,181.2926015192199,0.035809463190104245
72,aracatuba,aluminio,1,10.96,10.75712962962963,418.5239405694755,0.025702543120932727
73,aracatuba,araras,1,25.66,4.790115740740741,339.3106559185899,0.01411719808142431
74,aracatuba,bauru,1,11.85,5.228634259259259,180.70587187867469,0.02893450115871025
75,aracatuba,campinas,1,10.96,16.510034722222223,389.86003622584855,0.04234862049994231
76,aracatuba,cerqueira cesar,1,12.77,4.353634259259259,241.0621757782355,0.018060213076581424
77,aracatuba,ferraz de vasconcelos,1,11.92,8.976296296296296,489.88205664834334,0.018323382484571864
78,aracatuba,franca,1,11.85,11.330277777777777,322.3279616016213,0.03515139586860089
79,aracatuba,indaiatuba,1,12.79,6.312754629629629,388.74193635430925,0.01623893395405641
80,aracatuba,jaguariuna,1,11.74,4.594236111111111,394.80705598854854,0.011636661608308155
81,aracatuba,jundiai,1,10.96,20.65337962962963,428.88471108393645,0.04815601744681354
82,aracatuba,marilia,1,11.92,6.625254629629629,124.47847400029478,0.05322409904875553
83,aracatuba,matao,3,11.92,2.7525694444444446,219.26416768590482,0.012553667448242118
84,aracatuba,maua,2,15.56,3.49775462962963,491.44151738624885,0.007117336459956774
85,aracatuba,santo andre,2,11.885,7.0972280092592595,482.5834551785464,0.014705034749955725
86,aracatuba,sao caetano do sul,1,12.79,3.9336921296296294,476.065345532377,0.008262924757168867
87,aracatuba,sao carlos,1,11.1,8.074502314814815,273.5853559196913,0.029513649543380593
88,aracatuba,sao jose do rio preto,1,12.77,12.413101851851852,121.60922512440334,0.1020736859325725
89,aracatuba,sao jose dos campos,1,12.79,5.652615740740741,509.5536793032261,0.011093268423594234
90,aracatuba,sao paulo,12,13.871818181818183,5.644119318181819,470.79302154021656,0.012002268453412497
91,aracatuba,tatui,1,17.97,11.064664351851851,356.3024090236406,0.031054138483575935
92,aracatuba,tiete,1,11.85,8.334467592592592,347.84733430115324,0.023960130697384965
93,aracatuba,votuporanga,1,11.85,7.253125,98.1858927082098,0.07387135564937966
94,araraquara,atibaia,1,13.37,3.9255092592592593,220.90016556445673,0.01777051297914863
95,araraquara,bariri,1,13.07,9.039513888888889,66.80928269624148,0.13530326212284613
96,araraquara,barra bonita,1,22.76,10.881875,86.39411297173541,0.12595620958062387
97,araraquara,barueri,1,13.72,9.728206018518518,236.79057445962925,0.04108358637466414
98,araraquara,bauru,3,21.099999999999998,7.11158950617284,109.64455337009713,0.06440477811834451
99,araraquara,bertioga,1,23.09,5.836597222222222,313.1810681563189,0.01863649439789568
100,araraquara,bocaina,1,37.46,9.519131944444444,53.17799468978122,0.17900509411788063
101,araraquara,bonfim paulista,1,8.27,3.9693171296296295,70.86498894350395,0.056012386212239564
102,araraquara,caieiras,1,37.27,6.553148148148148,220.77084700889208,0.029683032143660727
103,araraquara,cajati,1,37.54,10.297997685185186,323.2234453769559,0.03186030540939026
104,araraquara,campinas,4,22.807499999999997,8.795885416666668,168.17929520101976,0.053013776591155526
105,araraquara,cotia,1,43.58,4.671782407407408,235.5634744761731,0.019832371796162956
106,araraquara,diadema,1,12.92,6.184861111111111,268.31044375604205,0.023051138168645496
107,araraquara,guaratingueta,2,39.464999999999996,6.935052083333334,325.5893462896396,0.021228410445865296
108,araraquara,guarulhos,5,22.918,9.745013888888888,250.07337234431057,0.0389496166623657
109,araraquara,ilhabela,1,23.09,4.660462962962963,366.90716970035896,0.012702022058519623
110,araraquara,itapui,1,11.85,7.746875,74.10764351249723,0.10453543835452812
111,araraquara,itaquaquecetuba,1,14.14,5.09707175925926,268.1212926094257,0.019010320700953064
112,araraquara,itu,1,24.45,6.530162037037037,190.9086414377139,0.03420569120317991
113,araraquara,jau,1,34.21,4.013472222222222,65.06930276846165,0.06167996353831389
114,araraquara,limeira,1,37.27,8.106412037037037,113.98046795537176,0.07112106295449712
115,araraquara,maua,1,37.54,4.133773148148149,268.2877966122588,0.015407980535627783
116,araraquara,mogi das cruzes,1,24.12,4.773206018518518,282.29067733733046,0.016908833347034885
117,araraquara,osasco,1,13.7,2.961377314814815,242.71183586398328,0.012201206852039894
118,araraquara,paulinia,1,11.92,3.705462962962963,148.8555754881264,0.02489300753977155
119,araraquara,pirapozinho,1,23.98,7.152361111111111,346.5958676845344,0.02063602534817601
120,araraquara,praia grande,2,13.025,9.570416666666667,306.41904288680945,0.031205608399890006
121,araraquara,ribeirao preto,4,10.375,4.513663194444444,75.15212258857375,0.05961624343926864
122,araraquara,roseira,1,13.04,3.3509837962962963,321.21419199077604,0.010432240790881751
123,araraquara,sales,1,13.07,5.821585648148148,144.60884204857845,0.040257466733552176
124,araraquara,salto,1,12.91,14.351203703703703,180.05511488282173,0.07970450444045057
125,araraquara,salto de pirapora,1,14.59,6.001342592592593,211.4798199442429,0.028377849925230972
126,araraquara,santa adelia,1,12.69,6.283900462962963,87.35849242107402,0.07193233638550131
127,araraquara,santa fe do sul,1,13.07,7.919444444444444,331.1815436095522,0.023912698630878734
128,araraquara,sao bernardo do campo,1,11.85,19.914201388888888,263.3560314370056,0.07561703174302403
129,araraquara,sao caetano do sul,2,25.17,6.133368055555556,261.8449158350944,0.02355057929230956
130,araraquara,sao carlos,1,19.71,7.444166666666667,40.46837831051114,0.18395020945855742
131,araraquara,sao jose do rio preto,3,12.576666666666668,7.679104938271604,163.704530466419,0.04692487531106399
132,araraquara,sao jose dos campos,3,20.206666666666667,9.169807098765432,279.9074161309018,0.03282102457345799
133,araraquara,sao paulo,36,22.66121212121212,10.650717241863077,252.2935659514373,0.04236200921721372
134,araraquara,sao roque,1,37.54,7.1150925925925925,221.66829524152976,0.03209792624984997
135,araraquara,sorocaba,3,13.393333333333333,8.257195216049382,204.47135879003437,0.040265501547593695
136,araraquara,taboao da serra,2,13.475,10.192372685185184,251.57997581614532,0.040487805896931864
137,araraquara,taubate,2,25.625,8.496331018518518,299.8647519325116,0.028266281250482334
138,araraquara,tupa,1,12.79,11.498229166666667,244.74085420409054,0.0469812414607258
139,araraquara,urania,2,7.72,16.146608796296295,306.84954101841794,0.05262060599050116
140,araras,andradina,1,18.0,11.955925925925927,441.4190646271201,0.02708520515765547
141,araras,barueri,1,8.11,4.642789351851852,135.01253238410115,0.03438783992765533
142,araras,bauru,1,26.36,10.815648148148147,164.39199992159476,0.06579181561941318
143,araras,braganca paulista,1,7.71,3.9329513888888887,108.64871252521287,0.036198785033704044
144,araras,campinas,2,13.29,3.401261574074074,71.64107878912469,0.04745557381125155
145,araras,cruzeiro,1,19.0,26.992048611111112,249.0191288118239,0.10839347458928818
146,araras,franco da rocha,1,8.11,2.870601851851852,127.31243623959085,0.022547693977433836
147,araras,guaratingueta,1,18.51,4.810590277777778,232.83313860450917,0.02066110651864319
148,araras,guarulhos,3,7.843333333333334,2.1808217592592594,150.83978314293515,0.01435973070631908
149,araras,herculandia,1,14.85,5.361041666666667,311.44129229884976,0.017213650852444997
150,araras,itatiba,1,18.94,2.932847222222222,95.94589164621551,0.03056772074240143
151,araras,lagoinha,1,17.72,6.632372685185185,239.18829633857692,0.027728667274743653
152,araras,santo andre,1,18.51,24.46701388888889,180.2590262768184,0.13573253109287092
153,araras,santos,1,15.21,6.089097222222223,206.17800384814353,0.029533204845202745
154,araras,sao bernardo do campo,1,7.71,3.8798726851851852,172.49129728701166,0.022493150357199697
155,araras,sao carlos,1,9.65,1.6609027777777778,65.83148257160815,0.025229612229545825
156,araras,sao paulo,11,11.863,4.362843750000001,158.72954525529946,0.027536512521948348
157,artur nogueira,espirito santo do pinhal,1,11.97,10.267986111111112,59.71019878929151,0.17196368994424757
158,artur nogueira,itapevi,1,7.39,1.6340972222222223,110.40731191729718,0.014800625011559702
