,ID,label,recived,sent,freight_flow
0,santa cruz do rio pardo,santa cruz do rio pardo,31.0,0.0,31.0
1,pirajui,pirajui,20.0,0.0,20.0
2,ribeirao branco,ribeirao branco,2.0,0.0,2.0
3,embu das artes,embu das artes,147.0,0.0,147.0
4,estrela d'oeste,estrela d'oeste,1.0,0.0,1.0
5,carapicuiba / sao paulo,carapicuiba / sao paulo,0.0,6.0,6.0
6,piquete,piquete,8.0,0.0,8.0
7,santa maria da serra,santa maria da serra,2.0,3.0,5.0
8,ilha comprida,ilha comprida,2.0,0.0,2.0
9,campo limpo paulista,campo limpo paulista,43.0,551.0,594.0
10,monte mor,monte mor,35.0,0.0,35.0
11,rafard,rafard,3.0,0.0,3.0
12,tarabai,tarabai,4.0,0.0,4.0
13,joanopolis,joanopolis,7.0,0.0,7.0
14,igarapava,igarapava,2.0,0.0,2.0
15,alvares machado,alvares machado,6.0,3.0,9.0
16,taguai,taguai,11.0,0.0,11.0
17,rifaina,rifaina,1.0,0.0,1.0
18,timburi,timburi,3.0,0.0,3.0
19,iaras,iaras,1.0,0.0,1.0
20,monteiro lobato,monteiro lobato,0.0,20.0,20.0
21,sao joaquim da barra,sao joaquim da barra,45.0,37.0,82.0
22,sao simao,sao simao,8.0,0.0,8.0
23,bariri,bariri,21.0,13.0,34.0
24,lorena,lorena,81.0,1.0,82.0
25,alambari,alambari,2.0,2.0,4.0
26,mogi mirim,mogi mirim,88.0,39.0,127.0
27,pedro de toledo,pedro de toledo,10.0,0.0,10.0
28,estiva gerbi,estiva gerbi,7.0,0.0,7.0
29,igarata,igarata,4.0,0.0,4.0
30,venda branca,venda branca,1.0,0.0,1.0
31,sao miguel arcanjo,sao miguel arcanjo,11.0,0.0,11.0
32,avanhandava,avanhandava,5.0,0.0,5.0
33,pitangueiras,pitangueiras,13.0,1.0,14.0
34,bento de abreu,bento de abreu,3.0,0.0,3.0
35,itapetininga,itapetininga,108.0,1.0,109.0
36,carapicuiba,carapicuiba,359.0,131.0,490.0
37,pontalinda,pontalinda,2.0,0.0,2.0
38,itatinga,itatinga,3.0,0.0,3.0
39,guararapes,guararapes,17.0,0.0,17.0
40,anhembi,anhembi,1.0,0.0,1.0
41,balsamo,balsamo,15.0,0.0,15.0
42,ibirarema,ibirarema,4.0,0.0,4.0
43,santa cruz das palmeiras,santa cruz das palmeiras,5.0,0.0,5.0
44,potirendaba,potirendaba,8.0,0.0,8.0
45,ariranha,ariranha,3.0,0.0,3.0
46,itapirapua paulista,itapirapua paulista,1.0,0.0,1.0
47,tabatinga,tabatinga,5.0,21.0,26.0
48,barrinha,barrinha,14.0,0.0,14.0
49,primavera,primavera,8.0,0.0,8.0
50,pirassununga,pirassununga,63.0,0.0,63.0
51,sao manuel,sao manuel,13.0,0.0,13.0
52,urania,urania,7.0,0.0,7.0
53,nova canaa paulista,nova canaa paulista,1.0,0.0,1.0
54,dracena,dracena,49.0,139.0,188.0
55,ipigua,ipigua,2.0,0.0,2.0
56,santa isabel,santa isabel,31.0,0.0,31.0
57,itaoca,itaoca,1.0,0.0,1.0
58,bady bassitt,bady bassitt,6.0,5.0,11.0
59,regente feijo,regente feijo,17.0,0.0,17.0
60,pindorama,pindorama,2.0,0.0,2.0
61,riberao preto,riberao preto,0.0,115.0,115.0
62,onda verde,onda verde,1.0,0.0,1.0
63,elias fausto,elias fausto,7.0,0.0,7.0
64,holambra ii,holambra ii,3.0,0.0,3.0
65,orindiuva,orindiuva,4.0,0.0,4.0
66,mogi das cruses,mogi das cruses,0.0,12.0,12.0
67,amparo,amparo,70.0,41.0,111.0
68,arapei,arapei,2.0,0.0,2.0
69,santos,santos,856.0,280.0,1136.0
70,palhoca,palhoca,0.0,1.0,1.0
71,paranapua,paranapua,2.0,0.0,2.0
72,riversul,riversul,1.0,0.0,1.0
73,barueri,barueri,409.0,183.0,592.0
74,andradina,andradina,40.0,0.0,40.0
75,aracatuba,aracatuba,149.0,37.0,186.0
76,itanhaem,itanhaem,104.0,0.0,104.0
77,itarare,itarare,45.0,0.0,45.0
78,paraiso,paraiso,4.0,0.0,4.0
79,gabriel monteiro,gabriel monteiro,1.0,0.0,1.0
80,sabino,sabino,3.0,0.0,3.0
81,tremembe,tremembe,36.0,0.0,36.0
82,aracariguama,aracariguama,6.0,0.0,6.0
83,engenheiro coelho,engenheiro coelho,9.0,9.0,18.0
84,paraibuna,paraibuna,9.0,0.0,9.0
85,itabera,itabera,9.0,0.0,9.0
86,motuca,motuca,1.0,0.0,1.0
87,sao joao da boa vista,sao joao da boa vista,78.0,0.0,78.0
88,sao luis do paraitinga,sao luis do paraitinga,3.0,0.0,3.0
89,clementina,clementina,4.0,2.0,6.0
90,mongagua,mongagua,46.0,0.0,46.0
91,mogi guacu,mogi guacu,0.0,120.0,120.0
92,registro,registro,40.0,34.0,74.0
93,guaicara,guaicara,9.0,0.0,9.0
94,sumare,sumare,188.0,224.0,412.0
95,sales oliveira,sales oliveira,3.0,0.0,3.0
96,agudos,agudos,12.0,0.0,12.0
97,inubia paulista,inubia paulista,3.0,0.0,3.0
98,franca,franca,224.0,258.0,482.0
99,pradopolis,pradopolis,12.0,59.0,71.0
100,chapeco,chapeco,0.0,1.0,1.0
101,cruzeiro,cruzeiro,66.0,31.0,97.0
102,itobi,itobi,4.0,0.0,4.0
103,taquaritinga,taquaritinga,23.0,0.0,23.0
104,rio grande da serra,rio grande da serra,22.0,0.0,22.0
105,rubineia,rubineia,1.0,0.0,1.0
106,salmourao,salmourao,2.0,0.0,2.0
107,porto feliz,porto feliz,27.0,0.0,27.0
108,pirapora do bom jesus,pirapora do bom jesus,13.0,0.0,13.0
109,ibitinga,ibitinga,14.0,4520.0,4534.0
110,guaratingueta,guaratingueta,77.0,1.0,78.0
111,icem,icem,12.0,0.0,12.0
112,cafelandia,cafelandia,6.0,9.0,15.0
113,guaranta,guaranta,3.0,0.0,3.0
114,casa branca,casa branca,10.0,0.0,10.0
115,buritama,buritama,18.0,10.0,28.0
116,taruma,taruma,7.0,6.0,13.0
117,ribeirao bonito,ribeirao bonito,5.0,0.0,5.0
118,igaracu do tiete,igaracu do tiete,4.0,3.0,7.0
119,caraguatatuba,caraguatatuba,98.0,0.0,98.0
120,rincao,rincao,1.0,0.0,1.0
121,americo brasiliense,americo brasiliense,15.0,0.0,15.0
122,irapuru,irapuru,6.0,0.0,6.0
123,itaquaquecetuba,itaquaquecetuba,143.0,979.0,1122.0
124,americo de campos,americo de campos,1.0,0.0,1.0
125,indaiatuba,indaiatuba,376.0,175.0,551.0
126,vinhedo,vinhedo,105.0,0.0,105.0
127,sarutaia,sarutaia,1.0,0.0,1.0
128,suzanapolis,suzanapolis,1.0,0.0,1.0
129,paulinia,paulinia,130.0,19.0,149.0
130,euclides da cunha paulista,euclides da cunha paulista,2.0,0.0,2.0
131,cruzalia,cruzalia,5.0,0.0,5.0
132,dourado,dourado,7.0,0.0,7.0
133,angatuba,angatuba,5.0,0.0,5.0
134,aluminio,aluminio,13.0,0.0,13.0
135,itapecerica da serra,itapecerica da serra,84.0,82.0,166.0
136,alvares florence,alvares florence,4.0,0.0,4.0
137,pinhais,pinhais,0.0,3.0,3.0
138,ouroeste,ouroeste,13.0,0.0,13.0
139,eldorado,eldorado,5.0,0.0,5.0
140,pedra bela,pedra bela,2.0,0.0,2.0
141,sao sebastiao,sao sebastiao,74.0,16.0,90.0
142,parisi,parisi,1.0,0.0,1.0
143,porangaba,porangaba,2.0,0.0,2.0
144,pirangi,pirangi,6.0,0.0,6.0
145,cajati,cajati,11.0,0.0,11.0
146,guatapara,guatapara,1.0,0.0,1.0
147,pauliceia,pauliceia,11.0,0.0,11.0
148,taiuva,taiuva,18.0,0.0,18.0
149,coronel macedo,coronel macedo,2.0,0.0,2.0
150,aguas de santa barbara,aguas de santa barbara,2.0,0.0,2.0
