,ID,label,sent,recived,freight_flow
0,058,058,401.0,387.0,788.0
1,015,015,112.0,104.0,216.0
2,022,022,110.0,94.0,204.0
3,025,025,15.0,62.0,77.0
4,037,037,71.0,124.0,195.0
5,029,029,108.0,67.0,175.0
6,033,033,188.0,130.0,318.0
7,080,080,35.0,99.0,134.0
8,034,034,303.0,59.0,362.0
9,035,035,305.0,88.0,393.0
10,038,038,385.0,53.0,438.0
11,082,082,170.0,111.0,281.0
12,041,041,323.0,261.0,584.0
13,027,027,22.0,34.0,56.0
14,013,013,28.0,117.0,145.0
15,049,049,4.0,60.0,64.0
16,045,045,18.0,195.0,213.0
17,020,020,307.0,91.0,398.0
18,040,040,42.0,253.0,295.0
19,056,056,21.0,93.0,114.0
20,084,084,19.0,106.0,125.0
21,042,042,193.0,100.0,293.0
22,081,081,49.0,53.0,102.0
23,044,044,146.0,112.0,258.0
24,032,032,292.0,102.0,394.0
25,012,012,230.0,125.0,355.0
26,030,030,101.0,147.0,248.0
27,043,043,120.0,143.0,263.0
28,054,054,43.0,127.0,170.0
29,083,083,0.0,46.0,46.0
30,057,057,96.0,152.0,248.0
31,051,051,90.0,112.0,202.0
32,055,055,98.0,99.0,197.0
33,031,031,113.0,166.0,279.0
34,011,011,23.0,48.0,71.0
35,053,053,17.0,133.0,150.0
36,039,039,223.0,65.0,288.0
37,046,046,34.0,143.0,177.0
38,024,024,72.0,107.0,179.0
39,028,028,26.0,109.0,135.0
40,050,050,20.0,226.0,246.0
41,021,021,47.0,74.0,121.0
42,047,047,369.0,130.0,499.0
43,010,010,111.0,43.0,154.0
44,026,026,23.0,44.0,67.0
45,052,052,7.0,49.0,56.0
46,048,048,73.0,172.0,245.0
47,036,036,55.0,100.0,155.0
48,014,014,8.0,150.0,158.0
49,023,023,84.0,85.0,169.0
